date_time,ARAI1,ARKI1,ATAI1,ATLI1,BASI1,BCFI1,BNRI1,BOGI1,BOII,BRFI1,BSKI1,CCDI1,COZI1,DEHI1,DHDI1,FAFI,FLEI1,GAVI1,GLNI1,GLSI1,ITD36,ITD42,ITD51,ITD71,JKPI1,LTAI1,MRKI1,PNFI1,PRAI1,PRLI1,SLDMT,SRSI1,STNI1,TCFI1,TR216,TRMI1,TS718,TTSID,VNNI1
2016-10-01 00:00:00+00:00,,,0.854,,,0.927,,,0.456,,,,,0.987,,1.003,0.993,,,,,,,,,0.789,,0.944,,,,,0.497,0.978,,,,,0.311
2016-10-01 01:00:00+00:00,,,0.849,,,0.923,,,0.468,,,,,0.985,,0.998,0.988,,,,,,,,,0.79,,0.938,,,,,0.503,0.978,,,,,0.315
2016-10-01 02:00:00+00:00,,,0.838,,,0.916,,,0.492,,,,,0.98,,0.99,0.98,,,,,,,,,0.791,,0.928,,,,,0.514,0.978,,,,,0.325
2016-10-01 03:00:00+00:00,,,0.822,,,0.904,,,0.526,,,,,0.971,,0.976,0.968,,,,,,,,,0.793,,0.913,,,,,0.53,0.978,,,,,0.341
2016-10-01 04:00:00+00:00,,,0.802,,,0.887,,,0.569,,,,,0.957,,0.957,0.953,,,,,,,,,0.797,,0.894,,,,,0.552,0.976,,,,,0.36
2016-10-01 05:00:00+00:00,,,0.777,,,0.866,,,0.617,,,,,0.94,,0.935,0.935,,,,,,,,,0.803,,0.872,,,,,0.577,0.972,,,,,0.383
2016-10-01 06:00:00+00:00,,,0.75,,,0.843,,,0.669,,,,,0.92,,0.911,0.916,,,,,,,,,0.811,,0.848,,,,,0.605,0.966,,,,,0.408
2016-10-01 07:00:00+00:00,,,0.719,,,0.818,,,0.721,,,,,0.899,,0.886,0.896,,,,,,,,,0.82,,0.824,,,,,0.634,0.959,,,,,0.434
2016-10-01 08:00:00+00:00,,,0.688,,,0.795,,,0.773,,,,,0.878,,0.861,0.876,,,,,,,,,0.827,,0.8,,,,,0.663,0.953,,,,,0.459
2016-10-01 09:00:00+00:00,,,0.656,,,0.773,,,0.82,,,,,0.861,,0.839,0.858,,,,,,,,,0.833,,0.777,,,,,0.689,0.95,,,,,0.482
2016-10-01 10:00:00+00:00,,,0.624,,,0.756,,,0.863,,,,,0.847,,0.82,0.841,,,,,,,,,0.837,,0.758,,,,,0.712,0.948,,,,,0.502
2016-10-01 11:00:00+00:00,,,0.594,,,0.743,,,0.899,,,,,0.837,,0.806,0.826,,,,,,,,,0.839,,0.741,,,,,0.731,0.947,,,,,0.518
2016-10-01 12:00:00+00:00,,,0.567,,,0.735,,,0.926,,,,,0.832,,0.796,0.813,,,,,,,,,0.84,,0.728,,,,,0.745,0.947,,,,,0.529
2016-10-01 13:00:00+00:00,,,0.543,,,0.731,,,0.944,,,,,0.83,,0.791,0.803,,,,,,,,,0.84,,0.72,,,,,0.755,0.947,,,,,0.535
2016-10-01 14:00:00+00:00,,,0.523,,,0.729,,,0.954,,,,,0.829,,0.789,0.796,,,,,,,,,0.84,,0.715,,,,,0.76,0.948,,,,,0.537
2016-10-01 15:00:00+00:00,,,0.508,,,0.729,,,0.957,,,,,0.83,,0.788,0.792,,,,,,,,,0.84,,0.713,,,,,0.763,0.948,,,,,0.537
2016-10-01 16:00:00+00:00,,,0.499,,,0.729,,,0.957,,,,,0.83,,0.789,0.791,,,,,,,,,0.84,,0.713,,,,,0.764,0.948,,,,,0.537
2016-10-01 17:00:00+00:00,,,0.494,,,0.73,,,0.956,,,,,0.831,,0.789,0.79,,,,,,,,,0.839,,0.713,,,,,0.764,0.948,,,,,0.536
