date_time,ARAI1,ARKI1,ATAI1,ATLI1,BASI1,BCFI1,BNRI1,BOGI1,BOII,BRFI1,BSKI1,CCDI1,COZI1,DEHI1,DHDI1,FAFI,FLEI1,GAVI1,GLNI1,GLSI1,ITD36,ITD42,ITD51,ITD71,JKPI1,LTAI1,MRKI1,PNFI1,PRAI1,PRLI1,SLDMT,SRSI1,STNI1,TCFI1,TR216,TRMI1,TS718,TTSID,VNNI1
2016-10-01 00:00:00+00:00,,,,,,570.16,644.53,,713.82,,,,,639.95,,713.59,621.96,,,,612.64,635.3,568.39,573.38,,566.69,,567.07,,,528.57,,715.52,577.82,,,609.34,,
2016-10-01 01:00:00+00:00,,,,,,536.67,649.59,,780.14,,,,,675.37,,765.1,641.45,,,,684.47,657.87,603.83,581.17,,558.88,,554.74,,,557.18,,692.56,595.55,,,604.46,,
2016-10-01 02:00:00+00:00,,,,,,506.93,688.84,,861.6,,,,,739.7,,878.21,680.72,,,,728.37,689.91,649.31,600.67,,556.26,,538.88,,,614.0,,673.1,603.41,,,595.14,,
2016-10-01 03:00:00+00:00,,,,,,501.37,726.82,,913.17,,,,,848.53,,1014.4,727.76,,,,749.38,711.61,734.85,632.15,,559.72,,526.34,,,671.46,,656.51,600.71,,,591.95,,
2016-10-01 04:00:00+00:00,,,,,,516.92,733.37,,938.44,,,,,1045.58,,1139.99,796.42,,,,753.02,743.24,894.99,718.14,,572.19,,536.45,,,689.7,,675.28,602.29,,,594.88,,
2016-10-01 05:00:00+00:00,,,,,,536.61,689.45,,993.55,,,,,1209.5,,1236.01,915.95,,,,745.34,805.46,1097.25,891.36,,582.95,,551.9,,,749.08,,726.27,606.27,,,601.79,,
2016-10-01 06:00:00+00:00,,,,,,551.53,662.31,,1033.05,,,,,1206.89,,1272.96,1043.54,,,,741.51,886.35,1187.12,994.68,,604.86,,587.49,,,785.64,,773.19,613.88,,,633.68,,
2016-10-01 07:00:00+00:00,,,,,,571.03,655.08,,1027.15,,,,,1158.43,,1280.18,1075.75,,,,754.23,910.59,1218.51,1023.42,,655.31,,645.77,,,767.7,,824.35,645.9,,,687.12,,
2016-10-01 08:00:00+00:00,,,,,,609.04,662.63,,1037.81,,,,,1121.44,,1260.37,1077.88,,,,800.73,915.0,1220.95,,,719.84,,726.78,,,742.52,,851.49,715.19,,,756.53,,
2016-10-01 09:00:00+00:00,,,,,,659.63,689.92,,1075.82,,,,,1139.4,,1227.34,1069.11,,,,877.27,919.39,1221.14,,,779.83,,803.81,,,740.94,,876.36,799.41,,,807.24,,
2016-10-01 10:00:00+00:00,,,,,,706.32,745.58,,1113.96,,,,,1180.81,,1240.7,1072.68,,,,961.0,936.27,,,,854.29,,856.71,,,746.99,,913.24,867.31,,,837.68,,
2016-10-01 11:00:00+00:00,,,,,,754.08,839.01,,1178.07,,,,,1174.11,,1262.13,1077.52,,,,985.65,955.71,,,,893.67,,847.82,,,737.88,,952.93,895.63,,,859.05,,
2016-10-01 12:00:00+00:00,,,,,,732.81,912.16,,1213.59,,,,,1099.86,,1269.14,1075.38,,,,852.36,935.22,,,,862.93,,760.13,,,740.64,,968.13,848.76,,,848.2,,
2016-10-01 13:00:00+00:00,,,,,,780.77,932.89,,1292.44,,,,,1085.28,,1259.79,1075.08,,,,822.29,932.31,,,,847.62,,688.85,,,720.3,,957.8,835.78,,,831.21,,
2016-10-01 14:00:00+00:00,,,,,,791.4,930.86,,1292.86,,,,,1072.53,,1253.93,1081.82,,,,849.52,929.43,,,,817.08,,633.01,,,700.75,,949.62,808.87,,,801.79,,
2016-10-01 15:00:00+00:00,,,,,,766.38,900.99,,1167.24,,,,,1068.97,,1299.71,1100.37,,,,883.28,934.41,,,,775.02,,591.44,,,683.53,,965.93,765.33,,,770.02,,
2016-10-01 16:00:00+00:00,,,,,,703.75,840.9,,931.6,,,,,1063.97,,1339.07,1138.19,,,,845.01,910.48,,,,730.18,,566.4,,,657.86,,968.65,716.86,,,743.94,,
2016-10-01 17:00:00+00:00,,,,,,661.79,778.07,,740.1,,,,,1033.57,,1251.5,1174.74,,,,741.31,863.19,,,,690.87,,557.58,,,620.55,,871.02,664.75,,,718.54,,
2016-10-01 18:00:00+00:00,,,,,,662.67,715.41,,653.59,,,,,949.12,,1052.76,1134.01,,,,617.25,796.5,,,,651.18,,542.87,,,614.61,,754.61,614.24,,,680.0,,
2016-10-01 19:00:00+00:00,,,,,,606.82,669.16,,631.22,,,,,804.56,,946.7,997.64,,,,552.94,744.55,,,,601.94,,524.97,,,619.09,,634.03,574.73,,,631.19,,
2016-10-01 20:00:00+00:00,,,,,,502.89,639.59,,619.64,,,,,673.13,,834.66,788.53,,,,519.81,680.64,,,,557.93,,502.31,,,607.23,,557.01,542.69,,,578.77,,
2016-10-01 21:00:00+00:00,,,,,,425.05,577.05,,588.22,,,,,582.43,,699.27,609.42,,,,494.24,587.64,,,,519.48,,475.68,,,545.68,,499.43,511.63,,,525.09,,
2016-10-01 22:00:00+00:00,,,,,,390.37,490.46,,534.06,,,,,533.06,,596.18,509.28,,,,451.58,476.57,,,,484.54,,446.21,,,480.32,,446.96,478.75,,,471.14,,
2016-10-01 23:00:00+00:00,,,,,,369.75,413.65,,479.72,,,,,500.2,,543.04,458.14,,,,411.47,383.0,,,,451.51,,408.37,,,434.5,,397.39,444.84,,,420.06,,
2016-10-02 00:00:00+00:00,,,,,,347.26,368.47,,442.24,,,,,475.06,,537.37,417.44,,,,415.83,337.74,,,,421.83,,375.99,,,388.88,,357.73,413.15,,,385.27,,
