date_time,ARAI1,ARKI1,ATAI1,ATLI1,BASI1,BCFI1,BNRI1,BOGI1,BOII,BRFI1,BSKI1,CCDI1,COZI1,DEHI1,DHDI1,FAFI,FLEI1,GAVI1,GLNI1,GLSI1,ITD36,ITD42,ITD51,ITD71,JKPI1,LTAI1,MRKI1,PNFI1,PRAI1,PRLI1,SLDMT,SRSI1,STNI1,TCFI1,TR216,TRMI1,TS718,TTSID,VNNI1
2016-10-01 00:00:00+00:00,,,1.34,,,3.148,,0.94,0.471,,,,,4.146,,3.501,3.094,,,,1.522,2.961,3.282,1.525,1.25,0.515,0.58,1.064,,,5.278,,2.163,0.479,,,,,1.3
2016-10-01 01:00:00+00:00,,,1.03,,,2.873,,0.67,0.47,,,,,4.658,,3.528,3.165,,,,1.431,3.069,3.276,1.181,0.67,0.509,0.47,0.897,,,5.212,,2.078,0.476,,,,,1.12
2016-10-01 02:00:00+00:00,,,1.03,,,2.449,,1.38,0.47,,,,,5.194,,3.493,3.334,,,,1.219,3.215,3.29,0.771,0.54,0.498,0.63,0.68,,,5.425,,2.044,0.472,,,,,0.8
2016-10-01 03:00:00+00:00,,,1.08,,,1.933,,0.94,0.47,,,,,5.457,,3.308,3.348,,,,0.958,3.218,3.751,0.65,0.49,0.485,0.8,0.53,,,5.932,,2.127,0.47,,,,,0.72
2016-10-01 04:00:00+00:00,,,0.8,,,1.462,,1.79,0.633,,,,,5.474,,2.878,3.114,,,,0.723,3.176,4.546,0.854,0.47,0.474,0.94,0.47,,,6.654,,2.333,0.47,,,,,0.67
2016-10-01 05:00:00+00:00,,,1.03,,,1.124,,1.92,1.462,,,,,5.086,,2.459,2.674,,,,0.587,3.025,5.072,1.338,0.67,0.47,0.98,0.47,,,7.022,,2.582,0.47,,,,,0.85
2016-10-01 06:00:00+00:00,,,1.25,,,0.875,,2.23,1.74,,,,,4.361,,2.087,2.084,,,,0.505,2.584,5.085,1.801,0.85,0.47,0.9,0.503,,,7.012,,2.882,0.47,,,,,1.21
2016-10-01 07:00:00+00:00,,,1.12,,,0.747,,1.83,2.033,,,,,3.57,,1.799,1.62,,,,0.503,2.117,4.847,1.944,0.85,0.47,0.8,0.589,,,7.09,,3.158,0.47,,,,,1.03
2016-10-01 08:00:00+00:00,,,1.16,,,0.784,,1.3,1.259,,,,,3.069,,1.664,1.366,,,,0.559,1.885,4.477,1.854,0.8,0.47,0.85,0.688,,,7.27,,3.401,0.47,,,,,1.08
2016-10-01 09:00:00+00:00,,,1.12,,,0.932,,0.47,0.579,,,,,2.909,,1.524,1.225,,,,0.602,2.102,4.134,1.697,0.54,0.47,0.94,0.707,,,7.361,,3.594,0.47,,,,,0.94
2016-10-01 10:00:00+00:00,,,1.34,,,1.182,,0.47,0.497,,,,,2.869,,1.466,1.081,,,,0.646,2.577,,1.578,0.85,0.485,0.9,0.657,,,7.461,,3.668,0.477,,,,,1.38
2016-10-01 11:00:00+00:00,,,0.85,,,1.512,,0.47,0.47,,,,,2.557,,1.403,0.899,,,,0.641,3.001,,1.434,0.85,0.527,0.9,0.654,,,7.337,,3.662,0.528,,,,,1.25
2016-10-01 12:00:00+00:00,,,0.54,,,1.791,,0.63,0.47,,,,,2.036,,1.357,0.808,,,,0.659,3.005,,1.304,0.63,0.602,0.8,0.721,,,6.764,,3.631,0.617,,,,,1.08
2016-10-01 13:00:00+00:00,,,0.76,,,1.98,,0.49,0.47,,,,,1.733,,1.296,0.691,,,,0.772,2.727,,1.248,0.72,0.719,0.76,0.928,,,6.053,,3.612,0.742,,,,,1.12
2016-10-01 14:00:00+00:00,,,0.47,,,2.164,,0.47,0.47,,,,,1.897,,1.402,0.717,,,,0.965,2.468,,1.525,0.94,0.878,0.85,1.246,,,5.521,,3.627,0.904,,,,,1.03
2016-10-01 15:00:00+00:00,,,0.49,,,2.365,,0.47,0.47,,,,,2.361,,1.618,0.909,,,,1.223,2.497,,2.132,1.3,1.078,0.72,1.548,,,5.529,,3.625,1.101,,,,,0.94
2016-10-01 16:00:00+00:00,,,0.76,,,2.552,,1.7,0.539,,,,,2.879,,1.984,1.133,,,,1.529,3.007,,2.918,0.9,1.309,0.67,1.764,,,5.889,,3.634,1.323,,,,,0.76
2016-10-01 17:00:00+00:00,,,0.72,,,2.694,,2.23,0.89,,,,,3.618,,2.542,1.504,,,,1.861,3.95,,3.727,1.12,1.557,0.54,1.929,,,6.049,,3.667,1.562,,,,,1.16
