date_time,ATAI1,BOGI1,BOII,DEHI1,FAFI,FLEI1,ITD42,ITD51,ITD71,JKPI1,SLDMT,SVT,TR216,VNNI1
10/1/08 1:00,0.62,0.76,0.5,2.31,1.47,2.68,NaN,NaN,NaN,0.5,3.54,NaN,2.23,0.94
10/1/08 2:00,1.09,0.84,0.5,2.36,1.68,0.9,NaN,NaN,NaN,0.54,4.57,NaN,1.34,0.8
10/1/08 3:00,1.43,0.87,0.5,0.91,0.99,0.9,NaN,NaN,NaN,0.76,4.83,NaN,3.13,0.9
10/1/08 4:00,1.51,0.7,0.5,2.91,1.52,0.9,NaN,NaN,NaN,0.72,5.63,NaN,2.23,0.5
10/1/08 5:00,1.13,0.89,0.5,3.95,1.22,0.9,NaN,NaN,NaN,0.72,6.22,NaN,2.23,0.85
10/1/08 6:00,1.06,1.07,0.5,4.14,1.05,1.34,NaN,NaN,NaN,0.94,4.91,NaN,1.79,0.72
10/1/08 7:00,1.01,1.17,0.5,4.92,1.21,1.34,NaN,NaN,NaN,1.08,4.43,NaN,2.68,0.5
10/1/08 8:00,1.13,1.23,0.5,5.38,1.39,1.34,NaN,NaN,NaN,0.67,3.35,NaN,2.68,0.58
10/1/08 9:00,0.97,1.04,0.5,4.58,1.02,0.9,NaN,NaN,NaN,0.54,3.9,NaN,3.58,1.08
10/1/08 10:00,0.79,0.79,0.5,1.33,1.17,0.5,NaN,NaN,NaN,0.5,3.13,NaN,1.79,0.5
10/1/08 11:00,0.92,0.6,0.5,1.22,0.73,0.9,NaN,NaN,NaN,0.67,3.53,NaN,0.5,0.5
10/1/08 12:00,1.03,0.68,0.5,1.22,0.79,1.34,NaN,NaN,NaN,0.72,4.24,NaN,1.34,0.5
10/1/08 13:00,1.08,0.9,0.5,0.57,0.67,1.34,NaN,NaN,NaN,0.67,4.79,NaN,0.9,0.5
10/1/08 14:00,1.11,0.8,0.5,0.93,0.79,0.9,NaN,NaN,NaN,1.03,4.21,NaN,1.34,0.5
10/1/08 15:00,1.03,0.68,0.5,1.65,0.5,1.34,NaN,NaN,NaN,0.72,3.23,NaN,0.5,0.54
10/1/08 16:00,0.87,0.72,0.5,1.43,0.5,0.9,NaN,NaN,NaN,0.58,2.79,NaN,0.5,0.8
10/1/08 17:00,0.64,0.91,0.5,1.82,0.5,1.34,NaN,NaN,NaN,0.5,2.27,NaN,2.68,0.76
10/1/08 18:00,0.86,1.09,0.5,2.65,0.71,1.34,NaN,NaN,NaN,0.94,2.79,NaN,3.58,0.9
