date_time,RME_176,RMESP
1998-01-01 00:00:00,418.96,418.96
1998-01-01 01:00:00,418.96,415.41
1998-01-01 02:00:00,411.88,408.38
1998-01-01 03:00:00,411.88,408.38
1998-01-01 04:00:00,415.41,411.88
1998-01-01 05:00:00,418.96,411.88
1998-01-01 06:00:00,408.38,404.91
1998-01-01 07:00:00,404.91,401.46
1998-01-01 08:00:00,411.88,404.91
1998-01-01 09:00:00,411.88,408.38
1998-01-01 10:00:00,398.05,398.05
1998-01-01 11:00:00,408.38,415.41
1998-01-01 12:00:00,408.38,418.96
1998-01-01 13:00:00,426.15,437.15
1998-01-01 14:00:00,433.46,444.63
1998-01-01 15:00:00,433.46,444.63
1998-01-01 16:00:00,426.15,429.79
1998-01-01 17:00:00,437.15,437.15
1998-01-01 18:00:00,448.41,448.41
1998-01-01 19:00:00,467.76,467.76
1998-01-01 20:00:00,475.71,475.71
1998-01-01 21:00:00,479.73,479.73
1998-01-01 22:00:00,475.71,479.73
1998-01-01 23:00:00,483.78,487.86
1998-01-02 00:00:00,479.73,483.78
1998-01-02 01:00:00,543.88,539.37
1998-01-02 02:00:00,526.05,521.68
1998-01-02 03:00:00,508.75,508.75
1998-01-02 04:00:00,500.3,500.3
1998-01-02 05:00:00,491.98,491.98
1998-01-02 06:00:00,483.78,491.98
1998-01-02 07:00:00,491.98,496.12
1998-01-02 08:00:00,483.78,487.86
1998-01-02 09:00:00,459.93,459.93
1998-01-02 10:00:00,471.72,475.71
1998-01-02 11:00:00,508.75,530.46
1998-01-02 12:00:00,543.88,571.66
1998-01-02 13:00:00,562.26,595.79
1998-01-02 14:00:00,557.61,595.79
1998-01-02 15:00:00,571.66,581.2
1998-01-02 16:00:00,553.0,553.0
1998-01-02 17:00:00,553.0,557.61
1998-01-02 18:00:00,557.61,557.61
1998-01-02 19:00:00,553.0,553.0
1998-01-02 20:00:00,548.42,548.42
1998-01-02 21:00:00,543.88,543.88
1998-01-02 22:00:00,530.46,530.46
1998-01-02 23:00:00,534.9,530.46
1998-01-03 00:00:00,526.05,526.05
1998-01-03 01:00:00,534.9,534.9
1998-01-03 02:00:00,534.9,534.9
1998-01-03 03:00:00,513.03,508.75
1998-01-03 04:00:00,483.78,479.73
1998-01-03 05:00:00,459.93,448.41
1998-01-03 06:00:00,437.15,429.79
1998-01-03 07:00:00,418.96,411.88
1998-01-03 08:00:00,422.54,415.41
1998-01-03 09:00:00,404.91,398.05
1998-01-03 10:00:00,408.38,404.91
1998-01-03 11:00:00,411.88,422.54
1998-01-03 12:00:00,415.41,429.79
1998-01-03 13:00:00,394.65,408.38
1998-01-03 14:00:00,384.64,401.46
1998-01-03 15:00:00,387.95,401.46
1998-01-03 16:00:00,398.05,411.88
1998-01-03 17:00:00,381.35,384.64
1998-01-03 18:00:00,352.9,343.85
1998-01-03 19:00:00,335.02,323.56
1998-01-03 20:00:00,368.45,368.45
1998-01-03 21:00:00,391.29,387.95
1998-01-03 22:00:00,374.85,374.85
1998-01-03 23:00:00,309.75,301.72
1998-01-04 00:00:00,352.9,352.9
1998-01-04 01:00:00,378.09,374.85
1998-01-04 02:00:00,378.09,381.35
1998-01-04 03:00:00,374.85,374.85
1998-01-04 04:00:00,365.29,362.16
1998-01-04 05:00:00,346.84,349.86
1998-01-04 06:00:00,343.85,346.84
1998-01-04 07:00:00,340.88,346.84
1998-01-04 08:00:00,329.24,335.02
1998-01-04 09:00:00,337.94,340.88
1998-01-04 10:00:00,394.65,398.05
1998-01-04 11:00:00,401.46,408.38
1998-01-04 12:00:00,394.65,426.15
